Customer ID,Age,Gender_index,Item_index,Category_index,Purchase Amount (USD),Location_index,Size,Color,Season_index,Review Rating,Subscription Status,Shipping_index,Discount Applied,Promo Code Used,Previous Purchases,Payment_index
1,55,1,1,1,53,1,L,Gray,1,3.1,Yes,1,Yes,Yes,14,1
2,19,1,2,1,64,2,L,Maroon,1,3.1,Yes,1,Yes,Yes,2,2
3,50,1,3,1,73,3,S,Maroon,2,3.1,Yes,2,Yes,Yes,23,3
4,21,1,4,2,90,4,M,Maroon,2,3.5,Yes,3,Yes,Yes,49,4
5,45,1,1,1,49,5,M,Turquoise,2,2.7,Yes,2,Yes,Yes,31,4
6,46,1,5,2,20,6,M,White,3,2.9,Yes,4,Yes,Yes,14,1
7,63,1,6,1,85,7,M,Gray,4,3.2,Yes,2,Yes,Yes,49,2
8,27,1,7,1,34,8,L,Charcoal,1,3.2,Yes,2,Yes,Yes,19,3
9,26,1,8,3,97,9,L,Silver,3,2.6,Yes,1,Yes,Yes,8,1
10,57,1,9,4,31,10,M,Pink,2,4.8,Yes,5,Yes,Yes,4,2
11,53,1,10,2,34,11,L,Purple,4,4.1,Yes,6,Yes,Yes,26,5
12,30,1,7,1,68,12,S,Olive,1,4.9,Yes,6,Yes,Yes,10,5
13,61,1,8,3,72,13,M,Gold,1,4.5,Yes,1,Yes,Yes,37,1
14,65,1,11,1,51,14,M,Violet,2,4.7,Yes,1,Yes,Yes,31,4
15,64,1,8,3,53,15,L,Teal,1,4.7,Yes,2,Yes,Yes,34,6
16,64,1,12,1,81,4,M,Teal,1,2.8,Yes,6,Yes,Yes,8,4
17,25,1,13,4,36,16,S,Gray,2,4.1,Yes,3,Yes,Yes,44,6
18,53,1,11,1,38,17,XL,Lavender,1,4.7,Yes,5,Yes,Yes,36,1
19,52,1,2,1,48,7,S,Black,3,4.6,Yes,2,Yes,Yes,17,2
20,66,1,14,1,90,4,M,Green,3,3.3,Yes,4,Yes,Yes,46,6
21,21,1,14,1,51,8,M,Black,1,2.8,Yes,1,Yes,Yes,50,2
22,31,1,14,1,62,18,M,Charcoal,1,4.1,Yes,6,Yes,Yes,22,6
23,56,1,14,1,37,19,M,Peach,3,3.2,Yes,6,Yes,Yes,32,6
24,31,1,14,1,88,20,XL,White,1,4.4,Yes,1,Yes,Yes,40,3
25,18,1,15,3,22,21,M,Green,4,2.9,Yes,6,Yes,Yes,16,6
26,18,1,16,1,25,22,M,Silver,3,3.6,Yes,1,Yes,Yes,14,4
27,38,1,17,4,20,23,M,Red,2,3.6,Yes,3,Yes,Yes,13,3
28,56,1,7,1,56,1,L,Cyan,3,5,Yes,3,Yes,Yes,7,5
29,54,1,9,4,94,18,M,Gray,4,4.4,Yes,2,Yes,Yes,41,4
30,31,1,11,1,48,6,S,Black,4,4.1,Yes,6,Yes,Yes,14,3
31,57,1,17,4,31,18,L,Black,1,4.7,Yes,4,Yes,Yes,16,3
32,33,1,11,1,79,9,L,Brown,1,4.7,Yes,6,Yes,Yes,45,1
33,36,1,15,3,67,24,M,Silver,3,4.9,Yes,2,Yes,Yes,37,1
34,54,1,14,1,38,25,L,Green,3,3.3,Yes,6,Yes,Yes,45,2
35,36,1,18,1,91,26,L,Violet,2,4.6,Yes,5,Yes,Yes,38,4
36,54,1,1,1,33,3,M,Cyan,3,4,Yes,5,Yes,Yes,48,3
37,35,1,18,1,69,27,M,Maroon,1,4.6,Yes,2,Yes,Yes,44,4
38,35,1,3,1,45,28,S,Cyan,3,2.8,Yes,6,Yes,Yes,10,4
39,29,1,11,1,37,21,M,Red,1,3.7,Yes,5,Yes,Yes,44,1
40,70,1,14,1,60,29,S,Turquoise,3,4.2,Yes,1,Yes,Yes,18,3
41,69,1,9,4,76,8,L,Beige,1,4.6,Yes,3,Yes,Yes,31,6
42,67,1,19,4,39,30,M,Orange,2,4.5,Yes,4,Yes,Yes,40,1
43,20,1,8,3,100,31,M,Beige,2,4.1,Yes,2,Yes,Yes,15,4
44,25,1,19,4,69,32,L,Lavender,4,3.7,Yes,6,Yes,Yes,19,4
45,39,1,20,4,53,1,S,Silver,3,4.6,Yes,2,Yes,Yes,45,4
46,50,1,21,1,21,31,XL,Indigo,4,2.9,Yes,5,Yes,Yes,25,4
47,57,1,6,1,43,19,L,White,3,2.9,Yes,6,Yes,Yes,45,2
48,55,1,17,4,54,7,M,Charcoal,1,4.5,Yes,2,Yes,Yes,36,2
49,42,1,6,1,55,23,M,Orange,3,2.7,Yes,6,Yes,Yes,38,2
50,68,1,16,1,30,33,S,Indigo,2,4.6,Yes,3,Yes,Yes,34,6
51,49,1,1,1,28,34,M,Red,2,3.7,Yes,6,Yes,Yes,39,6
52,59,1,12,1,59,35,XL,Gray,1,4.7,Yes,5,Yes,Yes,7,3
53,42,1,18,1,20,30,M,Green,3,2.6,Yes,2,Yes,Yes,26,3
54,29,1,12,1,24,17,S,Peach,1,3.9,Yes,3,Yes,Yes,35,3
55,47,1,8,3,94,36,M,Brown,3,4.2,Yes,3,Yes,Yes,35,6
56,40,1,15,3,28,37,M,Lavender,1,3,Yes,5,Yes,Yes,49,3
57,41,1,22,4,73,17,XL,Brown,3,4.7,Yes,6,Yes,Yes,46,3
58,21,1,8,3,64,9,M,White,3,4.4,Yes,6,Yes,Yes,17,6
59,69,1,16,1,54,10,M,Charcoal,3,4.2,Yes,2,Yes,Yes,29,1
60,63,1,23,4,79,8,L,Yellow,2,4.6,Yes,4,Yes,Yes,4,6
61,50,1,2,1,37,38,L,Brown,3,4,Yes,1,Yes,Yes,17,2
62,55,1,19,4,68,22,M,Orange,1,4.7,Yes,6,Yes,Yes,21,3
63,30,1,5,2,21,17,S,Magenta,2,3.8,Yes,2,Yes,Yes,31,3
64,33,1,13,4,79,29,L,Lavender,1,2.7,Yes,5,Yes,Yes,43,3
65,65,1,24,2,83,16,S,Green,4,4.8,Yes,4,Yes,Yes,18,6
66,65,1,22,4,36,33,M,Purple,2,4.8,Yes,5,Yes,Yes,44,1
67,31,1,1,1,94,39,S,Magenta,1,4.7,Yes,5,Yes,Yes,3,1
68,45,1,8,3,33,40,L,Gray,1,4.4,Yes,6,Yes,Yes,49,6
69,57,1,9,4,46,41,L,Silver,3,3.9,Yes,3,Yes,Yes,21,2
70,48,1,23,4,70,31,S,Cyan,3,4.4,Yes,1,Yes,Yes,5,2
71,22,1,23,4,29,16,M,Magenta,4,4.2,Yes,1,Yes,Yes,32,6
72,36,1,11,1,48,42,L,Gold,3,2.9,Yes,1,Yes,Yes,34,5
73,18,1,11,1,26,43,M,Olive,1,2.9,Yes,6,Yes,Yes,21,5
74,48,1,14,1,85,12,M,Teal,2,2.7,Yes,2,Yes,Yes,43,5
75,49,1,25,4,58,28,L,Violet,2,4.5,Yes,1,Yes,Yes,3,2
76,64,1,19,4,85,41,M,Blue,3,2.7,Yes,2,Yes,Yes,21,3
77,50,1,20,4,43,13,S,Teal,3,4.2,Yes,2,Yes,Yes,32,1
78,22,1,11,1,53,13,L,Gold,3,3.3,Yes,3,Yes,Yes,36,6
79,50,1,12,1,91,44,M,Maroon,2,4.7,Yes,2,Yes,Yes,50,1
80,38,1,15,3,96,45,M,Olive,1,2.6,Yes,5,Yes,Yes,43,5
81,19,1,4,2,72,15,XL,Blue,3,3.3,Yes,6,Yes,Yes,24,3
82,67,1,10,2,96,42,L,Maroon,3,2.6,Yes,1,Yes,Yes,36,3
83,19,1,14,1,28,43,S,Olive,2,4,Yes,5,Yes,Yes,21,3
84,36,1,11,1,40,22,M,Turquoise,3,4.1,Yes,4,Yes,Yes,34,5
85,52,1,8,3,32,29,S,Peach,2,4.4,Yes,4,Yes,Yes,42,5
86,53,1,13,4,95,36,M,Charcoal,1,4.5,Yes,3,Yes,Yes,2,6
87,24,1,16,1,41,23,L,Pink,2,3.7,Yes,5,Yes,Yes,47,2
88,52,1,10,2,53,32,M,Green,4,3.7,Yes,5,Yes,Yes,44,6
89,33,1,18,1,47,6,M,Orange,4,3.5,Yes,2,Yes,Yes,35,3
90,47,1,15,3,83,19,XL,Pink,4,3.6,Yes,3,Yes,Yes,15,2
91,25,1,20,4,48,37,L,Violet,3,2.9,Yes,1,Yes,Yes,29,3
92,44,1,19,4,99,37,S,Green,1,4.6,Yes,4,Yes,Yes,18,3
93,61,1,15,3,87,22,M,Olive,1,4.4,Yes,5,Yes,Yes,13,1
94,37,1,2,1,62,21,M,Purple,4,4.5,Yes,4,Yes,Yes,46,3
95,58,1,12,1,76,23,S,Silver,2,4.6,Yes,2,Yes,Yes,28,3
96,37,1,5,2,100,10,L,Pink,4,3.8,Yes,2,Yes,Yes,48,4
97,32,1,25,4,73,13,S,Gold,2,3.6,Yes,1,Yes,Yes,43,1
98,21,1,10,2,92,42,M,Teal,1,4.8,Yes,6,Yes,Yes,37,2
99,20,1,3,1,67,15,XL,Teal,2,2.6,Yes,3,Yes,Yes,20,5
100,26,1,16,1,40,10,XL,Indigo,3,3.7,Yes,1,Yes,Yes,33,6
101,62,1,13,4,98,46,M,Maroon,4,2.7,Yes,1,Yes,Yes,31,2
102,27,1,8,3,85,26,XL,White,2,4.6,Yes,1,Yes,Yes,50,3
103,51,1,21,1,67,20,L,Violet,1,4.8,Yes,3,Yes,Yes,35,3
104,54,1,24,2,89,9,L,Red,1,4,Yes,3,Yes,Yes,22,1
105,55,1,13,4,24,14,L,Pink,2,4.4,Yes,5,Yes,Yes,1,4
106,69,1,22,4,96,15,M,Charcoal,4,3.6,Yes,3,Yes,Yes,4,5
107,64,1,15,3,35,47,L,White,3,3.7,Yes,4,Yes,Yes,31,3
108,28,1,5,2,67,34,L,Olive,1,3.1,Yes,3,Yes,Yes,46,4
109,70,1,21,1,79,7,L,Purple,2,3.4,Yes,3,Yes,Yes,32,5
