Area,Area index
Alafaya,1
Boca Raton,2
Bonita Springs,3
Boynton Beach,4
Bradenton,5
Brandon,6
Cape Coral,7
Clearwater,8
Coconut Creek,9
Coral Gables,10
Coral Springs,11
Davie,12
Daytona Beach,13
Deerfield Beach,14
Delray Beach,15
Deltona,16
Doral,17
Fort Lauderdale,18
Fort Myers,19
Fountainebleau,20
Gainesville,21
Hialeah,22
Hollywood,23
Homestead,24
Jacksonville,25
Jupiter,26
Kendale Lakes,27
Kendall,28
Kissimmee,29
Lakeland,30
Largo,31
Lauderhill,32
Lehigh Acres,33
Margate,34
Melbourne,35
Miami,36
Miami Beach,37
Miami Gardens,38
Miramar,39
North Miami,40
North Port,41
Ocala,42
Orlando,43
Palm Bay,44
Palm Beach Gardens,45
Palm Coast,46
Palm Harbor,47
Pembroke Pines,48
Pensacola,49
Pine Hills,50
Pinellas Park,51
Plantation,52
Poinciana,53
Pompano Beach,54
Port Charlotte,55
Port Orange,56
Port St. Lucie,57
Riverview,58
Sanford,59
Sarasota,60
Spring Hill,61
St. Petersburg,62
Sunrise,63
Tallahassee,64
Tamarac,65
Tamiami,66
Tampa,67
The Hammocks,68
The Villages,69
Town 'n' Country,70
Wellington,71
Weston,72
West Palm Beach,73
