Index ,state_code,state,type,population,households,median_income
1,AL,Alabama,City,62059,21767,38342
1,AL,Alabama,City,212461,89972,31061
1,AL,Alabama,City,55437,22294,41496
1,AL,Alabama,City,68567,25913,42426
1,AL,Alabama,City,84848,32789,77146
1,AL,Alabama,City,190582,78554,48775
1,AL,Alabama,City,194288,76170,38776
1,AL,Alabama,City,200602,79866,42927
1,AL,Alabama,City,98332,32468,39351
2,AR,Arkansas,City,64980,23439,47504
2,AR,Arkansas,City,82830,33063,39432
2,AR,Arkansas,City,88194,34780,35096
2,AR,Arkansas,City,73907,27335,41688
2,AR,Arkansas,City,197992,79902,46085
2,AR,Arkansas,City,66504,25538,39591
2,AR,Arkansas,City,63159,21295,52943
2,AR,Arkansas,City,77859,24882,42319
3,AZ,Arizona,City,80684,23516,55100
3,AZ,Arizona,City,62138,15718,58939
3,AZ,Arizona,City,51460,17391,44348
3,AZ,Arizona,CDP,68525,27867,56265
3,AZ,Arizona,CDP,50643,23495,78586
3,AZ,Arizona,City,260828,88973,72695
3,AZ,Arizona,City,70320,23292,48680
3,AZ,Arizona,Town,247542,73617,82424
3,AZ,Arizona,City,240126,79152,46776
3,AZ,Arizona,City,79003,23882,70323
3,AZ,Arizona,City,53553,22788,42847
3,AZ,Arizona,City,471825,168914,48809
3,AZ,Arizona,City,171237,58588,65314
3,AZ,Arizona,City,1563025,525610,47326
3,AZ,Arizona,CDP,86743,25128,59769
3,AZ,Arizona,City,236839,102424,73288
3,AZ,Arizona,City,128422,45054,59916
3,AZ,Arizona,City,175826,64810,49012
3,AZ,Arizona,City,531641,206342,37149
3,AZ,Arizona,City,94139,33394,43754
4,CA,California,City,78630,30708,79312
4,CA,California,City,85551,29174,53582
4,CA,California,City,50195,18425,102367
4,CA,California,City,350742,99670,60752
4,CA,California,City,110542,33718,64329
4,CA,California,Town,72174,23727,47938
4,CA,California,City,58408,19559,79934
4,CA,California,CDP,92844,40602,45489
4,CA,California,City,373640,112439,57095
4,CA,California,City,77071,17674,51742
4,CA,California,City,78441,23176,48823
4,CA,California,City,120972,45917,66237
4,CA,California,City,58968,17725,92589
4,CA,California,City,83270,23130,70588
4,CA,California,City,105319,41361,66076
4,CA,California,City,67608,24375,88152
4,CA,California,City,113453,42791,90597
4,CA,California,CDP,63314,26074,54322
4,CA,California,City,93281,25223,72421
4,CA,California,CDP,62363,22164,85596
4,CA,California,City,53826,17369,39872
4,CA,California,City,90316,34791,42342
4,CA,California,City,85595,20149,72872
4,CA,California,City,78309,23696,96914
4,CA,California,City,265757,78066,65185
4,CA,California,City,87056,32987,50047
4,CA,California,City,104180,34512,62666
4,CA,California,City,54621,15432,41565
4,CA,California,City,98462,23551,43507
4,CA,California,City,128667,45409,68318
4,CA,California,City,164226,48156,74149
4,CA,California,City,113204,40908,66459
4,CA,California,City,60572,20422,141953
4,CA,California,City,106562,31137,74449
4,CA,California,City,67666,24428,56463
4,CA,California,City,52733,11105,35933
4,CA,California,City,56897,17656,89221
4,CA,California,City,114219,32738,62897
4,CA,California,City,57721,17321,118773
4,CA,California,CDP,127610,31400,38766
4,CA,California,City,59039,13189,110927
4,CA,California,City,103679,32564,45925
4,CA,California,City,166913,49316,79487
4,CA,California,City,116732,30752,38085
4,CA,California,City,62930,23465,95149
4,CA,California,City,151451,45041,50899
4,CA,California,City,112970,34623,67364
4,CA,California,CDP,62815,14373,33934
4,CA,California,CDP,50791,15247,39998
4,CA,California,City,76375,25879,100978
4,CA,California,City,207460,49975,64824
4,CA,California,City,56987,18842,82367
4,CA,California,City,232206,72684,105355
4,CA,California,City,520052,161914,41531
4,CA,California,City,140847,45031,65974
4,CA,California,City,60447,20897,47674
4,CA,California,City,175393,46998,58449
4,CA,California,City,53231,14989,83027
4,CA,California,City,201020,71498,52574
4,CA,California,City,52009,16722,75148
4,CA,California,CDP,55179,16020,78039
4,CA,California,City,55659,17414,53986
4,CA,California,City,88451,29159,44504
4,CA,California,City,158289,46713,65096
4,CA,California,City,83861,29909,33989
4,CA,California,City,93295,26253,44874
4,CA,California,City,54854,15289,53851
4,CA,California,City,201899,74460,83252
4,CA,California,City,59430,14559,34887
4,CA,California,City,87533,26144,50525
4,CA,California,City,111666,36667,42044
4,CA,California,City,256927,87235,92278
4,CA,California,City,100314,24839,57749
4,CA,California,City,65806,24877,95536
4,CA,California,City,62131,18830,63037
4,CA,California,City,61981,15462,61248
4,CA,California,City,82492,27044,91254
4,CA,California,City,81611,26083,79193
4,CA,California,City,60089,23785,54667
4,CA,California,City,161103,47427,47225
4,CA,California,City,88126,30182,100992
4,CA,California,City,64596,22423,49316
4,CA,California,City,474140,164406,52783
4,CA,California,City,3971883,1342761,50205
4,CA,California,City,71989,15132,43109
4,CA,California,City,64208,16791,40457
4,CA,California,City,75448,22639,62364
4,CA,California,City,87174,27524,55985
4,CA,California,City,82436,25330,37627
4,CA,California,City,77604,20792,100242
4,CA,California,City,97156,33483,100366
4,CA,California,City,211266,70481,48577
4,CA,California,City,63921,19816,45875
4,CA,California,City,61468,19106,54097
4,CA,California,City,204198,51693,54590
4,CA,California,City,80435,32714,103488
4,CA,California,City,109830,32685,74610
4,CA,California,City,80434,28356,68038
4,CA,California,City,61060,15332,41437
4,CA,California,City,87127,38071,113071
4,CA,California,City,107140,27225,59756
4,CA,California,City,55530,21403,78439
4,CA,California,City,419267,158424,54618
4,CA,California,City,175691,60493,57703
4,CA,California,City,171214,47375,54114
4,CA,California,City,140992,42680,78513
4,CA,California,City,207254,50815,60621
4,CA,California,City,158351,42720,52392
4,CA,California,City,51869,23925,52892
4,CA,California,City,66853,26087,136519
4,CA,California,City,55412,13844,45792
4,CA,California,City,142250,54536,72402
4,CA,California,City,74971,16297,49325
4,CA,California,City,60438,21616,80276
4,CA,California,City,64218,16606,55752
4,CA,California,City,69424,20180,60777
4,CA,California,City,52495,16050,79598
4,CA,California,City,79510,26020,124759
4,CA,California,City,153266,39378,49186
4,CA,California,City,56058,15821,38456
4,CA,California,City,50157,15832,95815
4,CA,California,City,71017,24063,52530
4,CA,California,City,175236,55240,77396
4,CA,California,City,91582,35436,43341
4,CA,California,City,71035,24157,65212
4,CA,California,City,68166,27733,105145
4,CA,California,City,85288,29049,84934
4,CA,California,City,103132,25199,50971
4,CA,California,City,109708,36973,55102
4,CA,California,City,322424,91267,57196
4,CA,California,City,61213,21208,80177
4,CA,California,City,54908,14768,44906
4,CA,California,City,130269,46547,75867
4,CA,California,CDP,51597,14617,59534
4,CA,California,City,490712,178185,50739
4,CA,California,City,157380,40892,49840
4,CA,California,City,216108,57580,37047
4,CA,California,City,109708,41029,66995
4,CA,California,City,65526,24069,98153
4,CA,California,City,1394928,485091,66116
4,CA,California,City,864816,353287,81294
4,CA,California,City,1026908,314297,84647
4,CA,California,City,90712,31363,62761
4,CA,California,City,92931,28738,57822
4,CA,California,City,103536,37861,90208
4,CA,California,City,59162,22826,77294
4,CA,California,City,76134,25265,128916
4,CA,California,City,335400,74757,52253
4,CA,California,City,91842,34973,66107
4,CA,California,City,126215,43433,98914
4,CA,California,City,182371,59247,83554
4,CA,California,City,64220,21516,62164
4,CA,California,City,105093,27365,50433
4,CA,California,City,93220,46688,76580
4,CA,California,City,174972,64088,61050
4,CA,California,City,57787,19364,76104
4,CA,California,City,126788,41972,90210
4,CA,California,City,96401,23398,43552
4,CA,California,City,67271,21136,81439
4,CA,California,CDP,58328,15153,62592
4,CA,California,City,305658,92440,44797
4,CA,California,City,151754,55094,105401
4,CA,California,City,112011,32835,79925
4,CA,California,City,129339,45912,100946
4,CA,California,City,148475,55377,79549
4,CA,California,City,87075,24344,76310
4,CA,California,City,62315,18295,46659
4,CA,California,City,72292,23983,51401
4,CA,California,City,80583,25340,71897
4,CA,California,City,74494,20461,85521
4,CA,California,City,76443,27070,60779
4,CA,California,City,96803,31798,74001
4,CA,California,City,121253,41216,57028
4,CA,California,City,122225,31886,45894
4,CA,California,City,130104,41730,52157
4,CA,California,City,100890,30451,50601
4,CA,California,City,68910,30317,82120
4,CA,California,City,53628,14216,46018
4,CA,California,City,108484,30816,69189
4,CA,California,City,92114,27309,53455
4,CA,California,City,52721,17930,52763
4,CA,California,City,87438,27525,66457
4,CA,California,City,58567,19547,55893
4,CA,California,City,67973,21912,117855
4,CA,California,City,66941,21859,50649
4,CA,California,City,53328,18198,56452
5,CO,Colorado,City,115368,44615,69938
5,CO,Colorado,City,359407,124031,53011
5,CO,Colorado,City,107349,42165,58484
5,CO,Colorado,City,65065,23531,81898
5,CO,Colorado,Town,55591,18721,88294
5,CO,Colorado,City,109741,38991,91941
5,CO,Colorado,City,456568,174441,54527
5,CO,Colorado,City,53696,14704,66053
5,CO,Colorado,City,682545,275795,53637
5,CO,Colorado,City,161175,58918,55647
5,CO,Colorado,City,60358,24290,45358
5,CO,Colorado,City,100883,33774,48813
5,CO,Colorado,CDP,101350,37157,108570
5,CO,Colorado,City,152597,63159,56954
5,CO,Colorado,City,92088,33850,62208
5,CO,Colorado,City,75182,29985,56277
5,CO,Colorado,City,109412,43249,34550
5,CO,Colorado,City,133451,42679,66948
5,CO,Colorado,City,113130,42239,67081
6,CT,Connecticut,City,147629,50367,41801
6,CT,Connecticut,Town,147629,50367,41801
6,CT,Connecticut,City,60452,24921,61478
6,CT,Connecticut,Town,60452,24921,61478
6,CT,Connecticut,City,84657,28894,66676
6,CT,Connecticut,Town,84657,28894,66676
6,CT,Connecticut,Town,50821,20225,48369
6,CT,Connecticut,CDP,51211,20225,48369
6,CT,Connecticut,Town,61523,20233,122306
6,CT,Connecticut,Town,62695,22083,128153
6,CT,Connecticut,Town,61218,23187,70791
6,CT,Connecticut,City,124006,45239,30630
6,CT,Connecticut,Town,124006,45239,30630
6,CT,Connecticut,Town,58007,24141,63158
6,CT,Connecticut,City,59988,24663,54588
6,CT,Connecticut,Town,59988,24663,54588
6,CT,Connecticut,City,53592,19631,0
6,CT,Connecticut,Town,53592,21255,80247
6,CT,Connecticut,City,72808,27858,40457
6,CT,Connecticut,Town,72808,27858,40457
